,1,3,5
35,autos,Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia,https://assets.msn.com/labs/mind/AAGBWeL.html
36,news,Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight,https://assets.msn.com/labs/mind/AACI1SK.html
37,sports,PGA Tour winners,https://assets.msn.com/labs/mind/AAjnQjj.html
38,foodanddrink,Nashville restaurants: Ms. Cheap rounds up lunch deals for $10 or less,https://assets.msn.com/labs/mind/AABDPUi.html
39,lifestyle,10 Things You Never Knew About Owls,https://assets.msn.com/labs/mind/AAEw1Zd.html
40,foodanddrink,25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner,https://assets.msn.com/labs/mind/AAHYMgP.html
41,finance,The States Where Dogs Put the Biggest Bite on Insurance,https://assets.msn.com/labs/mind/AABrOCk.html
42,sports,Rutgers throws for 1 yard in 35-0 loss at Indiana,https://assets.msn.com/labs/mind/AAIGv2m.html
43,lifestyle,Every outfit Duchess Kate has worn in 2019,https://assets.msn.com/labs/mind/AABvaDh.html
44,travel,Top Halloween parties this weekend Oct. 24-27,https://assets.msn.com/labs/mind/AAJfTsI.html
45,news,"New iPad Pro 2019 release date, price, news and leaks",https://assets.msn.com/labs/mind/AAGZjoR.html
46,news,Trump mulls executive order to add citizenship question to census: report,https://assets.msn.com/labs/mind/AADQU13.html
47,lifestyle,Puppy That Was Going to Be Abandoned Because of His Crooked Jaw Gets a New Home With British Prime Minister,https://assets.msn.com/labs/mind/AAGHBha.html
48,health,These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months,https://assets.msn.com/labs/mind/AAB207a.html
49,sports,Swanson Suspended Indefinitely For Broken Hand,https://assets.msn.com/labs/mind/AAISxTL.html
50,news,"Without help from US, UN climate fund struggles to meet goal",https://assets.msn.com/labs/mind/AAJgO34.html
51,entertainment,Best PS4 games 2019: play great PlayStation 4 games,https://assets.msn.com/labs/mind/AACkFyc.html
52,sports,Open thread: Is Sunday's game a must win for the Lions?,https://assets.msn.com/labs/mind/AAJ4lmC.html
53,health,The Biggest Mental and Physical Benefits of Working Out,https://assets.msn.com/labs/mind/AADm4XB.html
54,news,A Place to Call Home: These adventurous siblings are ready for a forever family,https://assets.msn.com/labs/mind/AAJwp2v.html
55,tv,The 23 Best TV Reboots of All Time,https://assets.msn.com/labs/mind/AAI343h.html
56,news,Netflix hackers: Why they steal passwords,https://assets.msn.com/labs/mind/AAGBXF6.html
57,health,How CrossFit injuries affect the shoulder,https://assets.msn.com/labs/mind/AAJ43sB.html
58,finance,10 dental scams that can bite you hard,https://assets.msn.com/labs/mind/AACI1qe.html
59,foodanddrink,20 Must-Try Gravy Recipes for Your Thanksgiving Feast,https://assets.msn.com/labs/mind/AAAAUcn.html
60,weather,"A little snow causes a big mess, more than 100 crashes on Minnesota roads",https://assets.msn.com/labs/mind/AAJJZkz.html
61,news,Extinction Rebellion wins court challenge against London police,https://assets.msn.com/labs/mind/AAJWD7d.html
62,tv,KMBC 9 Storytellers podcast takes you beyond the headlines,https://assets.msn.com/labs/mind/AADKsdg.html
63,lifestyle,What Is A Psychological Astrologer,https://assets.msn.com/labs/mind/AABrQrD.html
64,news,Body cam video shows the moments before an officer shoots a woman inside her home,https://assets.msn.com/labs/mind/AAIGv3D.html
65,sports,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship",https://assets.msn.com/labs/mind/AAJaBQj.html
66,news,The $400 JBL Link 500 smart speaker is on sale for $150,https://assets.msn.com/labs/mind/AAJwfTh.html
67,video,Olympian Shawn Johnson shares big pregnancy news,https://assets.msn.com/labs/mind/AAECmkw.html
68,lifestyle,"Mom with schizophrenia, 6-year-old daughter missing in Queens",https://assets.msn.com/labs/mind/AAJfTsZ.html
69,lifestyle,What's your love language?,https://assets.msn.com/labs/mind/AADQWJX.html
70,health,A 15-minute morning workout routine you can do anywhere,https://assets.msn.com/labs/mind/AAGHCrr.html
71,lifestyle,5 Things You Probably Shouldn't Be Buying from Costco,https://assets.msn.com/labs/mind/AABmnFz.html
72,lifestyle,Etiquette posters from the past century telling passengers how to behave on the London Underground go on display,https://assets.msn.com/labs/mind/AACkGTl.html
73,news,POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee,https://assets.msn.com/labs/mind/AAAKxi7.html
74,lifestyle,20 Touching Cousin Quotes That Sum up Your Lifelong Friendship,https://assets.msn.com/labs/mind/AAEKxq6.html
75,sports,ASK IRA: What's the next Heat step for Kendrick Nunn?,https://assets.msn.com/labs/mind/AAJ4lmJ.html
76,news,Today in History: November 2,https://assets.msn.com/labs/mind/AAJwpBS.html
77,lifestyle,"25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home",https://assets.msn.com/labs/mind/AAGBY83.html
78,travel,Memorial unveiled in honor of 7 killed in Randolph motorcycle crash,https://assets.msn.com/labs/mind/AAJ43sP.html
79,lifestyle,I'm Afraid to Tell My Male Bosses I'm Pregnant,https://assets.msn.com/labs/mind/AACIMEV.html
80,foodanddrink,These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner,https://assets.msn.com/labs/mind/AAAAxVC.html
81,sports,Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility,https://assets.msn.com/labs/mind/AAJJZo7.html
82,lifestyle,Prince George's Royal Life in Photos,https://assets.msn.com/labs/mind/AABDkOp.html
83,sports,"Colts News: Chris Ballard on first half of season, rookie development, trade deadline",https://assets.msn.com/labs/mind/AAJWD7n.html
84,autos,"2021 Kia Sorento Drops Heavy Camo, Heads To Nürburgring [UPDATE]",https://assets.msn.com/labs/mind/AADKsf3.html
85,tv,Can you answer these real Jeopardy questions about TV shows?,https://assets.msn.com/labs/mind/AABs6Gq.html
86,sports,Randall's Rant: Is Tiger already the GOAT without 18 majors?,https://assets.msn.com/labs/mind/AAJwfU7.html
87,finance,The 25 most desirable places to live in the US in 2019,https://assets.msn.com/labs/mind/AABvlID.html
88,sports,Stetson's Jalen Leary making big impact despite size,https://assets.msn.com/labs/mind/AAJfTsd.html
89,foodanddrink,40+ Stuffed Pasta Recipes You'll Want To Make Every Night,https://assets.msn.com/labs/mind/AAGaNFS.html
90,lifestyle,13 Odd Questions You've Always Wanted to Ask Your Dog,https://assets.msn.com/labs/mind/AADQtVU.html
91,health,This Stunning Weight-Loss Photo Will Inspire You to Curb Your Booze Consumption,https://assets.msn.com/labs/mind/AAGHHun.html
92,lifestyle,"How to Recharge, According to Your Zodiac Sign",https://assets.msn.com/labs/mind/AABoLr3.html
93,tv,'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick,https://assets.msn.com/labs/mind/AAISxYG.html
94,finance,Low Income Seniors At Risk Of Homelessness In Novato,https://assets.msn.com/labs/mind/AAJgOFd.html
95,health,"I'm Sorry, But Please Do Not Put Your Purse On My Couch",https://assets.msn.com/labs/mind/AAEKz14.html
96,news,"East Hartford swimmer Chelsea Bailey has Down syndrome. She's also a blogger, singer and straight-A student.",https://assets.msn.com/labs/mind/AAJ4lpd.html
97,lifestyle,It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets,https://assets.msn.com/labs/mind/AADmbCD.html
98,autos,"2020 Toyota Supra GT4 details announced, makes 429 horsepower",https://assets.msn.com/labs/mind/AAJwpE1.html
99,lifestyle,21 Things No One Ever Tells You About Being a Step-Parent,https://assets.msn.com/labs/mind/AAI3DQX.html
100,travel,Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas,https://assets.msn.com/labs/mind/AAEmAHg.html
101,movies,16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos),https://assets.msn.com/labs/mind/AABDmxB.html
102,sports,Tracker: Ryan Blaney has now finished in every possible position,https://assets.msn.com/labs/mind/AADKwyw.html
103,lifestyle,Can you really get banned from Amazon? Here's what you need to know,https://assets.msn.com/labs/mind/AAEwK7d.html
104,foodanddrink,100 Genius Tips that Will Make Your Holidays So Much Better,https://assets.msn.com/labs/mind/AAHYSQQ.html
105,lifestyle,10 Of The Best Horoscope Apps For People That Are Obsessed With The Stars,https://assets.msn.com/labs/mind/AABsMyX.html
106,sports,Matt Crafton likely to fill in for Paul Menard in relief role at Talladega,https://assets.msn.com/labs/mind/AAIGv70.html
107,sports,To Catch a Free Agent Catcher,https://assets.msn.com/labs/mind/AAJaBRr.html
108,music,Social Media says no to viral remix of the classic alphabet song,https://assets.msn.com/labs/mind/AAJwfYF.html
109,travel,What's new in Germany and the Low Countries for 2019,https://assets.msn.com/labs/mind/AAEFJCX.html
110,lifestyle,Millennials are killing purse sales and replacing them with backpacks,https://assets.msn.com/labs/mind/AABvuF4.html
111,news,Oklahoma AG Mike Hunter laid out plans for Marsy's Law week before it goes into effect,https://assets.msn.com/labs/mind/AAJfTsw.html
112,health,This Guy Reined in His Diet to Lose 30 Pounds and Get Shredded,https://assets.msn.com/labs/mind/AAGaOCL.html
113,autos,23 Things Car Dealerships Don't Want You To Know,https://assets.msn.com/labs/mind/AADRSdD.html
114,sports,N'Kosi Perry set to start Saturday against Georgia Tech,https://assets.msn.com/labs/mind/AAISxYj.html
115,sports,Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season,https://assets.msn.com/labs/mind/AAJgOKk.html
116,news,"watchOS 6.1 update release date, compatibility, news and features",https://assets.msn.com/labs/mind/AACkOok.html
117,entertainment,Best Xbox One games 2019: awesome Xbox games to play,https://assets.msn.com/labs/mind/AAEKzh7.html
118,travel,Delay in crane demolition leaves some disappointed,https://assets.msn.com/labs/mind/AAJ4lra.html
119,foodanddrink,Hearty Pumpkin Pastas to Satisfy Your Comfort Food Cravings,https://assets.msn.com/labs/mind/AADmbZv.html
120,finance,3 ways Halloween can pose an insurance risk,https://assets.msn.com/labs/mind/AAI3Dd9.html
121,tv,TV shows we're most excited about for the rest of the year,https://assets.msn.com/labs/mind/AAGC54l.html
122,sports,Sunday/vent open thread,https://assets.msn.com/labs/mind/AAJ43yM.html
123,autos,Suspect takes off on foot after car chase turned crash on Cleveland's east side,https://assets.msn.com/labs/mind/AAINZLC.html
124,news,The Democratic candidates who want to face Trump,https://assets.msn.com/labs/mind/AAEmD6T.html
125,lifestyle,The Absolute Best One-piece Bathing Suits of 2019,https://assets.msn.com/labs/mind/AABDu5D.html
126,lifestyle,40 Things I Wish I Could Tell My Younger Self,https://assets.msn.com/labs/mind/AADLU28.html
127,autos,Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?,https://assets.msn.com/labs/mind/AAEwL70.html
128,lifestyle,20 Words and Phrases You Had No Idea Were Coined in New York City,https://assets.msn.com/labs/mind/AAHYStZ.html
129,finance,"These VA, DC Universities Among Best In The World: U.S. News",https://assets.msn.com/labs/mind/AAJaBSJ.html
130,sports,All of Kevin Harvick's Monster Energy Series victories,https://assets.msn.com/labs/mind/AAEFXBf.html
131,finance,Best places to retire on the East Coast,https://assets.msn.com/labs/mind/AABvvNc.html
132,foodanddrink,PCC Community Markets Plans Its First Fast Casual Restaurant Inside New Ballard Store,https://assets.msn.com/labs/mind/AAJfTtm.html
133,foodanddrink,"Where to Find a Good, Cheap Sandwich in Every State",https://assets.msn.com/labs/mind/AAGaSZu.html
134,foodanddrink,16 major chains where you can buy plant-based versions of your fast-food favorites,https://assets.msn.com/labs/mind/AABp60R.html
135,lifestyle,"Do You Hate Meditating? So Do These People, But They Do It Anyway",https://assets.msn.com/labs/mind/AAB2vyJ.html
136,finance,Millers Energy acquires longtime Hampton Roads competitor,https://assets.msn.com/labs/mind/AAISxYn.html
137,sports,So far the World Series is one big reminder that you can't predict October baseball,https://assets.msn.com/labs/mind/AAJgOP5.html
138,entertainment,40 Celebrity Mothers and Daughters at the Same Age,https://assets.msn.com/labs/mind/AAAM2R4.html
139,music,'The Bachelor Live' is making a stop in Milwaukee,https://assets.msn.com/labs/mind/AAEKzkz.html
140,video,UK's pre-Christmas election hopes to unwrap Brexit,https://assets.msn.com/labs/mind/AAJwpGo.html
141,travel,"How one family's love of beer leads to Phoenix's newest brewery, Front Pourch",https://assets.msn.com/labs/mind/AAGC5aS.html
142,sports,Eagles fans rooting guide for Week 7,https://assets.msn.com/labs/mind/AAJ447r.html
143,foodanddrink,The Top 50 Fast Food Restaurants in America,https://assets.msn.com/labs/mind/AACJNCJ.html
144,finance,"Take heart, millennials: Investing is within your reach",https://assets.msn.com/labs/mind/AAEmGBr.html
145,foodanddrink,West Hartford dentist buys back Halloween candy to donate to troops,https://assets.msn.com/labs/mind/AAJJZti.html
146,news,Viral anti-Trump moment costs woman her job,https://assets.msn.com/labs/mind/AAJWDJm.html
147,lifestyle,These 6 Zodiac Signs Are Guilty Of Being Totally Selfish,https://assets.msn.com/labs/mind/AADMXLL.html
148,sports,Rose Lavelle surprises girls soccer players in Loveland,https://assets.msn.com/labs/mind/AAEwYfW.html
149,video,Viral college football fan under fire for past offensive tweets,https://assets.msn.com/labs/mind/AAHYTLj.html
150,lifestyle,"The Road Trip You Should Take, Based on Your Zodiac Sign",https://assets.msn.com/labs/mind/AABsm1b.html
151,video,Watch this priest perform a 'spirited' dance at pep rally,https://assets.msn.com/labs/mind/AAJwfcn.html
152,finance,Don't Be Like These Celebrities Convicted of Tax Evasion,https://assets.msn.com/labs/mind/AAEGGF9.html
153,lifestyle,The Ultimate Gift Registry Guide for Parents-to-Be,https://assets.msn.com/labs/mind/AABvxK0.html
154,sports,All eyes on Drew Brees as possibility of return nears,https://assets.msn.com/labs/mind/AAJfTvv.html
155,foodanddrink,Restaurants to Satisfy Late Night Cravings in Louisville and Beyond,https://assets.msn.com/labs/mind/AAGaSrN.html
156,foodanddrink,New York vs. Chicago: Which Destination is Best for Pizza?,https://assets.msn.com/labs/mind/AAGHthi.html
157,lifestyle,The Weirdest Animals You Can Legally Own In The US,https://assets.msn.com/labs/mind/AABp86M.html
158,lifestyle,8 Foundations That Actually Work For Acne-Prone Skin,https://assets.msn.com/labs/mind/AAB2xDg.html
159,health,Mighty Quinn's latest MRI shows no new disease,https://assets.msn.com/labs/mind/AAISxZ1.html
160,news,"Budget apartments for rent in Central City, Phoenix",https://assets.msn.com/labs/mind/AAJgOQ7.html
161,lifestyle,The Trendiest Hairstyle the Year You Graduated From High School,https://assets.msn.com/labs/mind/AACkVNB.html
162,lifestyle,Cutest photos of the royal Cambridge kids,https://assets.msn.com/labs/mind/AAAM6VA.html
163,autos,2021 Cadillac Escalade's Interior Spied for Real,https://assets.msn.com/labs/mind/AAEL0fm.html
164,autos,"Veneno Roadster, One:1, One-77, LaFerrari, P1, Veyron headline 25-car Bonham's auction",https://assets.msn.com/labs/mind/AADmhGM.html
165,news,"Mayor Lori Lightfoot, former President Barack Obama meet about presidential center",https://assets.msn.com/labs/mind/AAJwpKC.html
166,travel,Tom Shortell: Road Warrior: Do people actually follow the speed limit on Stefko Boulevard?,https://assets.msn.com/labs/mind/AAJ44Ca.html
167,lifestyle,46 Mismatched Nail Ideas You'll Want to Copy Immediately,https://assets.msn.com/labs/mind/AACJcix.html
168,weather,In Photos: Flooding across the globe,https://assets.msn.com/labs/mind/AAEmMJu.html
169,sports,Opponent QB Stat Tracker: Mason Rudolph,https://assets.msn.com/labs/mind/AAJJZvE.html
170,news,The News In Cartoons,https://assets.msn.com/labs/mind/AABGTFJ.html
171,finance,More store closings coming: The list of retailers closing locations in 2019,https://assets.msn.com/labs/mind/AADN84N.html
172,autos,Extreme Jeep Wrangler Prototype Caught Testing in Michigan,https://assets.msn.com/labs/mind/AAEwmWX.html
173,travel,The Best Eco-friendly Vacation Destinations Around the World,https://assets.msn.com/labs/mind/AAHYWJH.html
174,movies,Must-see biopics,https://assets.msn.com/labs/mind/AABsqwH.html
175,sports,"Redskins place TE Jordan Reed on injured reserve, ending his season",https://assets.msn.com/labs/mind/AAIGvDn.html
176,sports,"Giants roster move: TE Garrett Dickerson waived, LB Devante Downs added to 53-man roster",https://assets.msn.com/labs/mind/AAJaBSQ.html
177,sports,"NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games",https://assets.msn.com/labs/mind/AAJwfdx.html
178,autos,2017 Lamborghini Huracan - Barely Legal,https://assets.msn.com/labs/mind/AAEGLJL.html
179,lifestyle,27 products you only need to buy once in your life,https://assets.msn.com/labs/mind/AABw7ES.html
180,news,"U.S. attorney in Cleveland touts record number of drug, violent crime charges over past year",https://assets.msn.com/labs/mind/AAJfTxa.html
181,foodanddrink,Ranking 26 fast-food fried-chicken sandwiches (including Popeyes),https://assets.msn.com/labs/mind/AAGaV0d.html
182,finance,Which state charges car buyers the least taxes & fees?,https://assets.msn.com/labs/mind/AADTQdb.html
183,lifestyle,How Did All The British Royal Couples Meet?,https://assets.msn.com/labs/mind/AABpcxz.html
184,finance,17 Surprising Ways Penny-Pinching Costs You More,https://assets.msn.com/labs/mind/AAB4M2y.html
185,news,UN report: Almost half of North Korea is malnourished,https://assets.msn.com/labs/mind/AAJgOTj.html
186,travel,The Fascinating Story Behind Where 'Hocus Pocus' Was Filmed,https://assets.msn.com/labs/mind/AADmhmO.html
187,weather,"Kincade Fire: CAL FIRE says Sonoma County wildfire is now more than 74,000 acres, 15 percent contained",https://assets.msn.com/labs/mind/AAJwpLW.html
188,health,Early symptoms of dementia: Be aware of subtle signs,https://assets.msn.com/labs/mind/AAI3Gx9.html
189,lifestyle,The best coffee grinders you can buy right now,https://assets.msn.com/labs/mind/AAGCr36.html
190,news,Man killed in officer-involved shooting in St. Louis,https://assets.msn.com/labs/mind/AAJ44DD.html
191,lifestyle,40 Etiquette Mistakes You Need to Stop Making by Age 40,https://assets.msn.com/labs/mind/AACJkDv.html
192,sports,"Anquan Boldin, remembered for Super Bowl heroics and 'huge' presence in locker room, community, retires as a Raven",https://assets.msn.com/labs/mind/AAINZNL.html
193,sports,"Patriots vs. Ravens: 3 keys to the game, fun facts, prediction",https://assets.msn.com/labs/mind/AAJJZwW.html
194,health,14 Celebs Over 50 Who Are In The Best Shape Of Their Lives,https://assets.msn.com/labs/mind/AABHaIE.html
195,autos,The Oldsmobile Toronado - was it the ultimate personal car?,https://assets.msn.com/labs/mind/AAEwyaZ.html
196,travel,Flying while pregnant? Here's what you need to know,https://assets.msn.com/labs/mind/AAHYWR6.html
197,lifestyle,25 Toys That the 1-Year-Old in Your Life Will Love,https://assets.msn.com/labs/mind/AABsrdo.html
198,sports,Patriots' Kyle Van Noy amused over Sam Darnold 'seeing ghosts',https://assets.msn.com/labs/mind/AAJaBX3.html
199,video,"With impeachment inquiry 'concerns' getting addressed, GOP have nowhere to go",https://assets.msn.com/labs/mind/AAJwfhO.html
200,lifestyle,"28 Surprisingly Good Costco, Walmart, and Target Products",https://assets.msn.com/labs/mind/AAEGWcG.html
201,autos,The 2020 Chevrolet C8 Corvette's Engine Computer is Tuner-Resistant? We Think Not,https://assets.msn.com/labs/mind/AAC9HON.html
202,sports,"Cleveland Cavaliers rookie Darius Garland 'couldn't sleep' ahead of his NBA debut, anxious to fulfill his lifelong dream",https://assets.msn.com/labs/mind/AAJfTxp.html
203,autos,Mercedes-AMG GLE 63 Coupe Spied Ripping Off Its Camo On The 'Ring,https://assets.msn.com/labs/mind/AAGaVaX.html
204,travel,8 Common Mistakes Tourists Make in Barcelona,https://assets.msn.com/labs/mind/AABfUgD.html
205,lifestyle,10 amazing animal sanctuaries in the U.S.,https://assets.msn.com/labs/mind/AAGIq0S.html
206,health,17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore,https://assets.msn.com/labs/mind/AABpggG.html
207,weather,"Your Kansas City-area forecast: Slight chance of rain, cooler temps Thursday",https://assets.msn.com/labs/mind/AAJgOdN.html
208,lifestyle,"When royals lose their tempers, from the Queen to Kate Middleton",https://assets.msn.com/labs/mind/AACkZ0W.html
209,news,Plastic straw bans overturned by Florida lawmakers,https://assets.msn.com/labs/mind/AAAMa7X.html
210,finance,"25 Hot Jobs That Pay More Than $100,000 a Year",https://assets.msn.com/labs/mind/AAEMP1E.html
211,sports,ASU women's basketball lands legacy commitment from Jaddan Simmons,https://assets.msn.com/labs/mind/AADmi8i.html
212,news,"Can diversity, inclusion chief heal Fort Worth? Here's how candidates made their case",https://assets.msn.com/labs/mind/AAJwpLm.html
213,video,Dad in alien costume pranks daughter in hilarious video,https://assets.msn.com/labs/mind/AAI3JiN.html
214,lifestyle,Queen Elizabeth's Cousin Says Royal Family 'Don't Communicate Very Well',https://assets.msn.com/labs/mind/AAGCsB5.html
215,sports,Lamar Jackson watch: Where does Ravens QB's rushing performance vs. Bengals rank among NFL's all-time best?,https://assets.msn.com/labs/mind/AAINZOc.html
216,sports,Cubs prospects Christopher and Rafael Morel: 'The Two Mushrooms',https://assets.msn.com/labs/mind/AAJJZz3.html
217,health,"12 ways your skin can react to stress, according to a dermatologist",https://assets.msn.com/labs/mind/AABHeY0.html
218,news,Ikea US president backpedals on meeting parents of children killed by recalled dressers,https://assets.msn.com/labs/mind/AAJWDWr.html
219,entertainment,"Neil Young's Boring, Prophetic Message to Readers",https://assets.msn.com/labs/mind/AAHYZsE.html
220,news,Multi-vehicle accident on I-64 in James City County causes miles-long backup,https://assets.msn.com/labs/mind/AAIGvGa.html
221,finance,US News: These NC Universities Are Among The Best In The World,https://assets.msn.com/labs/mind/AAJaBXV.html
222,sports,"Dissecting the softer, gentler Tiger Woods",https://assets.msn.com/labs/mind/AAJwfsl.html
223,foodanddrink,39 Appetizers for a Crowd That Are Easy and Unexpected,https://assets.msn.com/labs/mind/AAGaXY3.html
224,lifestyle,How To Guess Someone's Zodiac Sign,https://assets.msn.com/labs/mind/AABi3Yb.html
225,news,Reaction Mixed After Brea Police Post Photo Poking Fun At Suspect In Santa Suit,https://assets.msn.com/labs/mind/AAJgOhZ.html
226,lifestyle,What Men Find Attractive According To Their Zodiac Sign,https://assets.msn.com/labs/mind/AAAMmOS.html
227,sports,Rams Week 8 snap count analysis,https://assets.msn.com/labs/mind/AAJwpRi.html
228,news,"These College Friends Pledged To Stay In Touch---60 Years Later, They Still Do",https://assets.msn.com/labs/mind/AAI3Kvr.html
229,sports,Photos of College Football Cheerleaders,https://assets.msn.com/labs/mind/AAGCsQC.html
230,finance,5 reasons Gen Xers are struggling with retirement savings,https://assets.msn.com/labs/mind/AAJ44GF.html
231,lifestyle,The Most Important Things Fatherhood Has Taught Me About Being a Man,https://assets.msn.com/labs/mind/AACJz2g.html
232,tv,Where is Brandy Hall update: The torch is passed and a cold case heats up,https://assets.msn.com/labs/mind/AAINZVY.html
233,lifestyle,"Couples Are Planning Their Weddings Before Getting Engaged & Yes, It Works",https://assets.msn.com/labs/mind/AAEmmVT.html
234,sports,"Astros Crawfish Potluck: November 2nd, 2019",https://assets.msn.com/labs/mind/AAJJa28.html
235,lifestyle,Fall Home Maintenance Checklist: 20 Things to Do Every Year,https://assets.msn.com/labs/mind/AAHdzb1.html
236,health,Study: Third-Hand Smoke Can Damage Your Lungs,https://assets.msn.com/labs/mind/AADNBr5.html
237,finance,"Toad, Pasta and Other Unusual Names for Money Around the World",https://assets.msn.com/labs/mind/AAEySBu.html
238,foodanddrink,Everything you need to know about a Wisconsin fish boil,https://assets.msn.com/labs/mind/AAHYbnA.html
239,lifestyle,The surprising age differences between your favorite royal couples,https://assets.msn.com/labs/mind/AAE2gnD.html
240,weather,Interstate Reopens In North Dakota Though No Travel Advised,https://assets.msn.com/labs/mind/AAIGvL7.html
241,sports,Patriots' Kyle Van Noy amused over Sam Darnold 'seeing ghosts',https://assets.msn.com/labs/mind/AAJaBXq.html
242,finance,BP profit beats as strong refining offsets lower oil price,https://assets.msn.com/labs/mind/AAJwfuv.html
243,foodanddrink,"October is National Pizza Month: Here's where to score free, discounted pizza",https://assets.msn.com/labs/mind/AAISHUK.html
244,autos,Best website defacement monitoring service of 2019,https://assets.msn.com/labs/mind/AAC9inp.html
